item,itemLabel,startDate,endDate
Q4071020,Vladimir Arshba,1993-05-17,1993-09-23
Q4160321,Sokrat Jinjolia,1993-09-23,1994-11-26
Q2996248,Leonid Lakerbaia,1995-06-29,1996-07-31
Q4331932,Konstantin Ozgan,1996-07-31,1997-04-30
Q737435,Sergei Shamba,1997-04-30,2004-06-18
Q4340240,Gueorgui Otyrba,2004-06-18,2004-07-28
Q983327,Igor Akhba,2004-07-28,2004-12-14
Q737435,Sergei Shamba,2004-12-14,2010-02-26
Q58314,Maxim Gvinjia,2010-02-26,2011-10-11
Q4516175,Viacheslav Chirikba,2011-10-11,2016-09-20
,Oleg Arshba,2016-09-20,2016-10-04
Q27881276,Daur Kove,2016-10-04,2021-11-18
Q18043980,Inal Ardzinba,2021-11-18,
