@@,itemlabel,item,startdate,enddate
+++,Givi Lominadze,,,1992-06-24
+++,Platon Arshba,,1953,1968
+++,Valeri Khintba,,1968-12,1973
+++,Alexander Ankvab,Q313355,1992-06-24,1993
+++,Givi Agrba,Q4057057,1993,1994-11-26
+++,Givi Agrba,Q4057057,1994-11-26,1996-06-02
+++,Almasbei Kchach,Q4250548,1996-06-02,2001-07-02
+++,Zurab Agumava,Q4057171,2001-07-02,2001-11-01
+++,Almasbei Kchach,Q4250548,2001-11-01,2003-05-08
+++,Abesalom Beia,,2003-05-08,2005-02-25
+++,Otar Khetsia,Q4497422,2005-02-25,2010-08-20
+++,Ramin Gablaia,,2010-08-12,2010-09-20
+++,Leonid Dzapshba,Q4160952,2010-09-22,2011-05-29
+++,Leonid Dzapshba,Q4160952,2011-05-29,2011-10-20
+++,Otar Khetsia,Q4497422,2011-10-20,2014-06-01
+++,Otar Khetsia,Q4497422,2014-06-01,2014-08-04
+++,Raul Lolua,Q21933592,2014-08-04,2014-10-15
+++,Raul Lolua,Q21933592,2014-10-15,2015-05-14
+++,Beslan Khagba,Q21141558,2015-05-14,2015-10-09
+++,Leonid Dzapshba,Q4160952,2015-10-09,2016-08-16
+++,Aslan Kobakhia,Q26465386,2016-08-16,
